Product Name,Category,Material,Year,Month,Day,Total Emissions (kgCO₂e)
Winter Coat,Jacket,Wool,2020,10,19,132.6
Winter Coat,Jacket,Wool,2022,3,24,683.4
Slip-On Sneakers,Shoes,Canvas,2024,3,4,513.0
Printed T-shirt,T-shirt,Organic Cotton,2024,11,24,96.9
Cargo Pants,Pants,Cotton,2022,7,9,316.2
Chino Pants,Pants,Cotton,2023,11,30,23.5
Chino Pants,Pants,Cotton,2024,2,4,51.7
Oversized Hoodie,Sweatshirt,Cotton,2024,2,26,21.0
Tracksuit Pants,Pants,Polyester,2022,11,29,384.3
Formal Shirt,Shirt,Cotton,2023,3,13,351.0
Tracksuit Pants,Pants,Polyester,2021,11,1,138.6
Formal Shirt,Shirt,Cotton,2023,2,27,198.9
Knitted Sweater,Sweater,Wool,2020,1,28,426.0
Zip Hoodie,Sweatshirt,Cotton,2024,1,23,427.5
Denim Jacket,Jacket,Denim,2022,7,11,592.8
Winter Coat,Jacket,Wool,2023,4,20,71.4
Winter Coat,Jacket,Wool,2024,9,17,469.2
Chino Pants,Pants,Cotton,2022,6,15,418.3
Zip Hoodie,Sweatshirt,Cotton,2023,8,13,175.5
Oversized Hoodie,Sweatshirt,Cotton,2024,10,9,239.4
Winter Coat,Jacket,Wool,2024,4,1,255.0
Cargo Pants,Pants,Cotton,2020,11,26,290.7
Slim Fit Jeans,Jeans,Denim,2024,9,1,305.5
Summer Dress,Dress,Linen,2023,3,7,75.9
Formal Shirt,Shirt,Cotton,2023,3,10,241.8
Slip-On Sneakers,Shoes,Canvas,2020,1,18,171.0
Shorts,Shorts,Denim,2024,12,16,28.0
Denim Jacket,Jacket,Denim,2022,6,28,514.8
Knitted Sweater,Sweater,Wool,2021,3,2,360.0
Summer Dress,Dress,Linen,2020,9,9,112.2
Denim Jacket,Jacket,Denim,2020,10,10,335.4
Denim Jacket,Jacket,Denim,2020,9,26,741.0
Tracksuit Pants,Pants,Polyester,2023,6,18,252.0
Zip Hoodie,Sweatshirt,Cotton,2021,4,24,409.5
Tank Top,T-shirt,Cotton,2022,5,25,106.2
Zip Hoodie,Sweatshirt,Cotton,2022,11,11,180.0
Tracksuit Pants,Pants,Polyester,2020,12,13,497.7
Leather Boots,Shoes,Leather,2022,11,4,836.0
Printed T-shirt,T-shirt,Organic Cotton,2024,9,21,70.3
Cargo Pants,Pants,Cotton,2023,10,11,448.8
Summer Dress,Dress,Linen,2020,1,14,52.8
Knitted Sweater,Sweater,Wool,2022,5,21,552.0
Tracksuit Pants,Pants,Polyester,2023,9,2,598.5
Shorts,Shorts,Denim,2021,1,1,199.5
Zip Hoodie,Sweatshirt,Cotton,2022,7,9,256.5
